Summary:	 This is a Default Field for a map described using potential values at various radial locations from a dust grain. It is an OM Potential Field for dust of radius = 1 Debye length (~ 7.4um using standard DiMPl pars), with a surface potential of 2.515. The radius values are normalised to the Debye length, and the potential values use the standard normalisation scheme of phi = (-eV) / (kBTe). T=1. Defined on a scale over 10000x1x1. First dimension (start, stop): (1,100).;
Number of Dimensions:	1;
Coordinate System:	Spherical_1;
Ordered:	True;
Is Electric Field Defined:	False;
Positions Normalised to Dust Radius:	False;
Positions Normalised to Debye Length:	True;
Potential/Electric Field Normalised via phi = (-eV)/(kBTe):	True;
Find Dust Grain Potential from this custom field map:	True;
Find Dust Grain Radius from this custom field map:	True;
Potential	Radial_Position;
2.51500000000000	1.00000000000000
2.48385804419023	1.00990099009900
2.45272986075440	1.01980198019801
2.42240591983622	1.02970297029702
2.39209491929744	1.03960396039603
2.36256913711500	1.04950495049504
2.33305552594455	1.05940594059405
2.30430620149015	1.06930693069306
2.27556833559606	1.07920792079207
2.24757350710593	1.08910891089108
2.21958947654096	1.09900990099009
2.19232743092024	1.10891089108910
2.16507556984373	1.11881188118811
2.13852506566373	1.12871287128712
2.11198417581114	1.13861386138613
2.08612455186779	1.14851485148514
2.06027401152526	1.15841584158415
2.03508523241035	1.16831683168316
2.00990504235358	1.17821782178217
1.98536771891485	1.18811881188118
1.96083852319463	1.19801980198019
1.93693391336374	1.20792079207920
1.91303700042261	1.21782178217821
1.88974699758665	1.22772277227722
1.86646428888706	1.23762376237623
1.84377141003611	1.24752475247524
1.82108544843651	1.25742574257425
1.79897281183900	1.26732673267326
1.77686673947318	1.27722772277227
1.75531804434009	1.28712871287128
1.73377558246367	1.29702970297029
1.71277508630082	1.30693069306930
1.69178051280682	1.31683168316831
1.67131300986339	1.32673267326732
1.65085113787719	1.33663366336633
1.63090193772799	1.34653465346534
1.61095809432125	1.35643564356435
1.59151299861785	1.36633663366336
1.57207300167801	1.37623762376237
1.55311828365499	1.38613861386138
1.53416842149836	1.39603960396039
1.51569080625015	1.40594059405940
1.49721781799502	1.41584158415841
1.47920446081768	1.42574257425742
1.46119551481335	1.43564356435643
1.44363398727793	1.44554455445544
1.42607666725688	1.45544554455445
1.40895493247952	1.46534653465346
1.39183721289904	1.47524752475247
1.37514361595248	1.48514851485148
1.35845385247118	1.49504950495049
1.34217710227514	1.50495049504950
1.32590401370227	1.51485148514851
1.31003316279793	1.52475247524752
1.29416581092163	1.53465346534653
1.27869024781706	1.54455445544554
1.26321802979878	1.55445544554455
1.24812746329904	1.56435643564356
1.23304009604825	1.57425742574257
1.21832454305761	1.58415841584158
1.20361205107488	1.59405940594059
1.18926182250551	1.60396039603960
1.17491452382855	1.61386138613861
1.16092021248316	1.62376237623762
1.14692870660359	1.63366336633663
1.13328117797190	1.64356435643564
1.11963633666303	1.65346534653465
1.10632671845486	1.66336633663366
1.09301967533359	1.67326732673267
1.08003934702394	1.68316831683168
1.06706148712224	1.69306930693069
1.05440207003792	1.70297029702970
1.04174501991365	1.71287128712871
1.02939837079809	1.72277227722772
1.01705399212223	1.73267326732673
1.00501219165804	1.74257425742574
0.99297256975783	1.75247524752475
0.98122791901580	1.76237623762376
0.96948535934264	1.77227722772277
0.95803036924488	1.78217821782178
0.94657738685509	1.79207920792079
0.93540476874625	1.80198019801980
0.92423407888844	1.81188118811881
0.91333674085894	1.82178217821782
0.90244125531217	1.83168316831683
0.89181229586677	1.84158415841584
0.88118511662297	1.85148514851485
0.87081781551214	1.86138613861386
0.86045222562038	1.87128712871287
0.85034004173577	1.88118811881188
0.84022950320950	1.89108910891089
0.83036606669957	1.90099009900990
0.82050421264336	1.91089108910891
0.81088331958085	1.92079207920792
0.80126394886808	1.93069306930693
0.79187955633606	1.94059405940594
0.78249662870447	1.95049504950495
0.77334285074382	1.96039603960396
0.76419048275184	1.97029702970297
0.75526158482353	1.98019801980198
0.74633404432083	1.99009900990099
0.73762443830497	2.00000000000000
0.72891613943907	2.00990099009900
0.72042037920754	2.01980198019801
0.71192587800370	2.02970297029702
0.70363865727337	2.03960396039603
0.69535264949438	2.04950495049504
0.68726879631036	2.05940594059405
0.67918611194606	2.06930693069306
0.67130058388172	2.07920792079207
0.66341618235481	2.08910891089108
0.65572406491883	2.09900990099009
0.64803303349731	2.10891089108910
0.64052953602862	2.11881188118811
0.63302708572585	2.12871287128712
0.62570753631406	2.13861386138613
0.61838899681389	2.14851485148514
0.61124884103905	2.15841584158415
0.60410965944003	2.16831683168316
0.59714445724074	2.17821782178217
0.59018019492840	2.18811881188118
0.58338561636619	2.19801980198019
0.57659194478128	2.20792079207920
0.56996376753561	2.21782178217821
0.56333646567280	2.22772277227722
0.55687057178208	2.23762376237623
0.55040552293439	2.24752475247524
0.54409789653513	2.25742574257425
0.53779108603629	2.26732673267326
0.53163781139484	2.27722772277227
0.52548532465405	2.28712871287128
0.51948258230126	2.29702970297029
0.51348060094071	2.30693069306930
0.50762466570951	2.31683168316831
0.50176946560462	2.32673267326732
0.49605670470735	2.33663366336633
0.49034465406662	2.34653465346534
0.48477152578166	2.35643564356435
0.47919908383565	2.36633663366336
0.47376213122433	2.37623762376237
0.46832584194482	2.38613861386138
0.46302169431531	2.39603960396039
0.45771818788128	2.40594059405940
0.45254355736365	2.41584158415841
0.44736954673829	2.42574257425742
0.44232122723370	2.43564356435643
0.43727350711554	2.44554455445544
0.43234837236718	2.45544554455445
0.42742381726272	2.46534653465346
0.42261881871235	2.47524752475247
0.41781438079428	2.48514851485148
0.41312654557362	2.49504950495049
0.40843925267379	2.50495049504950
